Type,Adjective,Noun,ERP_Code,Note,HEX
"DB","tafisa","M175 White","https://tafisa.ca/en/our-colours/white-1","https://tafisa.ca/sites/default/files/styles/medium/public/2019-11/M175B%20-%2012%27%27x12%27%27.jpg?itok=IR7XO82T","#E7EAE9"
"DB","tafisa","M175 White","https://tafisa.ca/en/our-colours/white-0","https://tafisa.ca/sites/default/files/styles/medium/public/2019-11/M175Y%20-%2012%27%27x12%27%27.jpg?itok=HGC6WPUD","#E9EBEA"
"DB","tafisa","L175 White","https://tafisa.ca/en/our-colours/white-2","https://tafisa.ca/sites/default/files/styles/medium/public/2025-05/materia_24x24_RGB_L175_White_Blanc.jpg?itok=MyoX-jjr","#F2F3EE"
"DB","tafisa","L175 White","https://tafisa.ca/en/our-colours/white","https://tafisa.ca/sites/default/files/styles/medium/public/960x960_L175%28C%29_hires.jpg?itok=iOQ6UDa1","#E4E7E6"
"DB","tafisa","L191 Glacier White","https://tafisa.ca/en/our-colours/glacier-white","https://tafisa.ca/sites/default/files/styles/medium/public/960x960_L191%28C%29_hires.jpg?itok=DiCPmWTo","#E4E7E5"
"DB","tafisa","L178 Classic White","https://tafisa.ca/en/our-colours/classic-white","https://tafisa.ca/sites/default/files/styles/medium/public/960x960_L178%28C%29_hires.jpg?itok=g3EFfBsp","#DCDED8"
"DB","tafisa","L080 Froth of Sea","https://tafisa.ca/en/our-colours/froth-of-sea-0","https://tafisa.ca/sites/default/files/styles/medium/public/2025-05/materia_24x24_RGB__L080_Froth%20of%20Sea_%C3%89cume%20de%20Mer.jpg?itok=dX0nbCE9","#EEEFE9"
"DB","tafisa","L080 Froth of Sea","https://tafisa.ca/en/our-colours/froth-of-sea","https://tafisa.ca/sites/default/files/styles/medium/public/2025-05/L080_forth%20of%20the%20sea_ecume%20de%20mer_materia_24x24_CMYK_.jpg?itok=5o476hoq","#F1F7ED"
"DB","tafisa","PM100 Vanilla Orchid","https://tafisa.ca/en/our-colours/vanilla-orchid-1","https://tafisa.ca/sites/default/files/styles/medium/public/2020-10/PMHG100_24X24%20%28Medium%29.jpg?itok=vXBWz3G_","#FDF9EE"
"DB","tafisa","HG100 Vanilla Orchid","https://tafisa.ca/en/our-colours/vanilla-orchid-0","https://tafisa.ca/sites/default/files/styles/medium/public/2020-11/PMHG100_24X24%20%28Medium%29.jpg?itok=ZCLphfBI","#FDF9EE"
"DB","tafisa","L100 Vanilla Orchid","https://tafisa.ca/en/our-colours/vanilla-orchid","https://tafisa.ca/sites/default/files/styles/medium/public/960x960_L100%28C%29_hires.jpg?itok=LDttNrk_","#E5E8E5"
"DB","tafisa","PM775 Gardenia","https://tafisa.ca/en/our-colours/gardenia","https://tafisa.ca/sites/default/files/styles/medium/public/2024-08/PM775-24x24-RGB.jpg?itok=Lapar2XQ","#F2EADF"
"DB","tafisa","HG775 Gardenia","https://tafisa.ca/en/our-colours/gardenia-0","https://tafisa.ca/sites/default/files/styles/medium/public/2024-09/PM775-24x24-RGB.jpg?itok=PtM_AqqC","#F2EADF"
"DB","tafisa","L775 Gardenia","https://tafisa.ca/en/our-colours/gardenia-1","https://tafisa.ca/sites/default/files/styles/medium/public/2025-05/materia_24x24_RGB_L775_Gardenia_Gard%C3%A9nia.jpg?itok=il4i94Ig","#EFECE5"
"DB","tafisa","PM776 Cashmere","https://tafisa.ca/en/our-colours/cashmere-0","https://tafisa.ca/sites/default/files/styles/medium/public/2024-08/PM776-24x24-RGB.jpg?itok=pJ0fp6Eo","#E3DED8"
"DB","tafisa","HG776 Cashmere","https://tafisa.ca/en/our-colours/cashmere","https://tafisa.ca/sites/default/files/styles/medium/public/2024-09/PM776-24x24-RGB_0.jpg?itok=BGCVdm4L","#E3DED8"
"DB","tafisa","L776 Cashmere","https://tafisa.ca/en/our-colours/cashmere-1","https://tafisa.ca/sites/default/files/styles/medium/public/2025-05/materia_24x24_RGB_L775_Gardenia_Gard%C3%A9nia_0.jpg?itok=zdaZDF36","#EFECE5"
"DB","tafisa","L105 Snowfall","https://tafisa.ca/en/our-colours/snowfall","https://tafisa.ca/sites/default/files/styles/medium/public/2024-01/L105-12x12.png?itok=iDVvFb88","#EEECE0"
"DB","tafisa","L105 Snowfall","https://tafisa.ca/en/our-colours/snowfall-1","https://tafisa.ca/sites/default/files/styles/medium/public/2024-01/L105-12x12_2.png?itok=nVJ5hb8v","#EEECE0"
"DB","tafisa","L204 Ivory","https://tafisa.ca/en/our-colours/ivory","https://tafisa.ca/sites/default/files/styles/medium/public/1000x1000_L204%28C%29_hires.jpg?itok=3tvVF77E","#E4D4B0"
"DB","tafisa","PM763 Morning Dew","https://tafisa.ca/en/our-colours/morning-dew-2","https://tafisa.ca/sites/default/files/styles/medium/public/2020-10/PMHG763_24X24%20%28Medium%29.jpg?itok=i_6xh0jd","#DAD3C0"
"DB","tafisa","HG763 Morning Dew","https://tafisa.ca/en/our-colours/morning-dew-3","https://tafisa.ca/sites/default/files/styles/medium/public/2020-11/PMHG763_24X24%20%28Medium%29.jpg?itok=c-GkO9qC","#DAD3C0"
"DB","tafisa","L763 Morning Dew","https://tafisa.ca/en/our-colours/morning-dew-4","https://tafisa.ca/sites/default/files/styles/medium/public/2025-05/materia_24x24_RGB_L763_Morning%20Dew_Rose%CC%81e%20du%20Matin.jpg?itok=v08AsxmK","#E2D9D4"
"DB","tafisa","L763 Morning Dew","https://tafisa.ca/en/our-colours/morning-dew","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/tafisa_L763%28C%29_24X24_72dpi_3.jpg?itok=VHogDCSt","#DAD3C1"
"DB","tafisa","L763 Morning Dew","https://tafisa.ca/en/our-colours/morning-dew-1","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/tafisa_L763%28C%29_24X24_72dpi_1.jpg?itok=Gy2LjTr4","#DAD3C1"
